Epoch	Train Loss	Val Loss	Val mAP@0.5	XY Loss	WH Loss	Obj Loss	NoObj Loss	Class Loss	Time	LR
1	16.7693	9.6621	0.0001	2.3471	0.6487	1.6612	7.3056	4.8067	261.72	0.001000
2	8.6952	8.4026	0.0001	1.8315	0.3050	1.7843	2.2704	2.5039	91.00	0.001000
3	7.9289	7.7834	0.0001	1.7333	0.2474	1.6350	2.2469	2.0663	92.58	0.001000
4	7.2436	7.2904	0.0001	1.6535	0.2078	1.4928	2.1565	1.7331	90.66	0.001000
5	6.8577	7.0245	0.1087	1.6116	0.1876	1.4253	2.0963	1.5371	333.78	0.001000
6	6.5137	6.7088	0.1087	1.5685	0.1724	1.3504	2.0578	1.3646	90.66	0.001000
7	6.2669	6.5333	0.1087	1.5232	0.1651	1.3017	2.0212	1.2555	90.81	0.001000
8	6.1261	6.3258	0.1087	1.4978	0.1623	1.2824	2.0091	1.1745	90.43	0.001000
9	5.9145	6.1630	0.1087	1.4987	0.1538	1.2240	1.9621	1.0760	89.91	0.001000
10	5.7190	6.0204	0.2386	1.4289	0.1482	1.1943	1.9416	1.0060	322.66	0.001000
11	5.5522	5.9008	0.2386	1.4154	0.1408	1.1578	1.9099	0.9283	90.10	0.001000
12	5.4411	5.7604	0.2386	1.3772	0.1371	1.1266	1.9027	0.8975	90.46	0.001000
13	5.3045	5.6969	0.2386	1.3563	0.1331	1.1034	1.8583	0.8533	90.48	0.001000
14	5.1604	5.7140	0.2386	1.3327	0.1270	1.0693	1.8320	0.7994	90.49	0.001000
15	5.0349	5.6216	0.2812	1.3092	0.1259	1.0350	1.8087	0.7561	311.62	0.001000
16	4.9552	5.5147	0.2812	1.2824	0.1228	1.0233	1.7812	0.7455	89.92	0.001000
17	4.8633	5.4774	0.2812	1.2673	0.1183	1.0060	1.7670	0.7047	90.18	0.001000
18	4.8237	5.3979	0.2812	1.2490	0.1156	1.0083	1.7613	0.6895	90.05	0.001000
19	4.7366	5.4228	0.2812	1.2222	0.1129	0.9713	1.7483	0.6818	90.23	0.001000
20	4.6024	5.3075	0.3212	1.2089	0.1107	0.9417	1.7088	0.6322	323.88	0.001000
21	4.4961	5.3154	0.3212	1.1838	0.1068	0.9217	1.6856	0.5982	92.89	0.001000
22	4.5087	5.2963	0.3212	1.1778	0.1076	0.9281	1.6864	0.6088	91.60	0.001000
23	4.3998	5.2376	0.3212	1.1539	0.1059	0.9050	1.6646	0.5704	91.50	0.001000
24	4.3261	5.2736	0.3212	1.1372	0.1049	0.8831	1.6461	0.5548	91.03	0.001000
25	4.2943	5.1253	0.3577	1.1402	0.1020	0.8774	1.6367	0.5381	318.70	0.001000
26	4.2231	5.1422	0.3577	1.1212	0.1003	0.8681	1.6133	0.5201	91.21	0.001000
27	4.2003	5.1758	0.3577	1.1047	0.0984	0.8605	1.6291	0.5076	91.40	0.001000
28	4.1782	5.1070	0.3577	1.1101	0.0990	0.8579	1.5932	0.5180	91.30	0.001000
29	4.0426	5.1296	0.3577	1.0641	0.0928	0.8306	1.5734	0.4817	90.90	0.001000
30	3.8743	4.9892	0.3664	1.0320	0.0903	0.7787	1.5277	0.4456	314.94	0.000100
31	3.7763	4.9739	0.3664	1.0072	0.0880	0.7652	1.4942	0.4217	90.33	0.000100
32	3.7879	4.9683	0.3664	1.0112	0.0861	0.7644	1.4958	0.4305	90.34	0.000100
33	3.7992	4.9604	0.3664	1.0086	0.0877	0.7736	1.5082	0.4211	90.96	0.000100
34	3.7924	4.9625	0.3664	1.0008	0.0895	0.7726	1.5070	0.4225	90.68	0.000100
35	3.7265	4.9510	0.3708	0.9924	0.0851	0.7507	1.4833	0.4150	312.16	0.000100
36	3.7621	4.9587	0.3708	0.9838	0.0872	0.7729	1.5026	0.4156	90.60	0.000100
37	3.6663	4.9217	0.3708	0.9730	0.0841	0.7410	1.4694	0.3987	90.68	0.000100
38	3.7266	4.9460	0.3708	1.0082	0.0855	0.7497	1.4717	0.4115	90.84	0.000100
39	3.6623	4.9301	0.3708	0.9754	0.0840	0.7406	1.4688	0.3936	90.28	0.000100
40	3.6961	4.9516	0.3788	0.9787	0.0862	0.7479	1.4776	0.4057	309.61	0.000010
