Epoch	Train Loss	Val Loss	Val mAP@0.5	XY Loss	WH Loss	Obj Loss	NoObj Loss	Class Loss	Time	LR
1	136.8529	129.4139	0.0000	6.1031	3.5752	0.5591	109.2391	17.3764	975.97	0.000100
2	125.3557	126.0954	0.0000	6.2222	3.5761	0.6508	98.7247	16.1819	95.80	0.000100
3	122.6763	123.4198	0.0000	6.1758	3.5127	0.6979	97.4554	14.8345	94.60	0.000100
4	118.5349	116.2360	0.0000	6.1850	3.5081	0.6891	94.4287	13.7241	96.59	0.000100
5	94.8167	65.9533	0.0001	6.2054	3.5416	0.8159	71.6091	12.6446	626.23	0.000100
6	38.5149	29.3397	0.0001	6.0816	3.4029	1.6426	15.8366	11.5512	95.15	0.000100
7	25.9194	26.8176	0.0001	6.1574	3.3898	2.0737	3.6775	10.6211	94.04	0.000100
8	24.0979	25.4182	0.0001	6.1324	3.3664	2.1150	2.8288	9.6553	94.03	0.000100
9	22.7114	24.3669	0.0001	6.0288	3.2819	2.1066	2.5598	8.7343	94.39	0.000100
10	21.9592	23.4212	0.0000	6.1209	3.2829	2.1282	2.4626	7.9645	269.69	0.000100
11	21.2137	22.6914	0.0000	6.0972	3.3020	2.1350	2.3981	7.2815	93.60	0.000100
12	20.3191	21.8857	0.0000	5.9954	3.2306	2.1222	2.3373	6.6336	93.64	0.000100
13	19.9662	21.3371	0.0000	6.0643	3.2549	2.1321	2.3181	6.1968	94.34	0.000100
14	19.2983	20.7420	0.0000	6.0039	3.1779	2.1245	2.2863	5.7058	94.05	0.000100
15	19.0702	20.4189	0.0000	6.1026	3.2486	2.1275	2.2673	5.3241	263.94	0.000100
16	18.7149	20.1391	0.0000	6.0659	3.2326	2.1348	2.2581	5.0234	94.02	0.000100
17	18.2966	19.7273	0.0000	6.0341	3.1291	2.1357	2.2448	4.7529	93.87	0.000100
18	17.9935	19.4983	0.0000	6.0619	3.1103	2.1310	2.2340	4.4563	94.34	0.000100
19	17.7442	19.2225	0.0000	5.9934	3.1417	2.1331	2.2235	4.2525	93.92	0.000100
20	17.6610	19.0095	0.0000	6.0226	3.1681	2.1451	2.2289	4.0963	263.11	0.000100
21	17.3114	18.9184	0.0000	5.9682	3.0920	2.1278	2.2045	3.9188	94.18	0.000100
22	17.2054	18.7055	0.0000	5.9665	3.1141	2.1337	2.2068	3.7843	94.29	0.000100
23	17.0727	18.5839	0.0000	5.8775	3.1092	2.1448	2.2109	3.7303	94.40	0.000100
24	16.9360	18.4182	0.0000	5.9366	3.0765	2.1430	2.2113	3.5687	93.76	0.000100
25	16.8209	18.2563	0.0000	5.9430	3.0745	2.1347	2.1966	3.4721	261.35	0.000100
26	16.7908	18.1836	0.0000	5.9857	3.0691	2.1324	2.1875	3.4160	94.01	0.000100
27	16.7505	18.1306	0.0000	5.9799	3.0420	2.1537	2.2071	3.3678	94.54	0.000100
28	16.5347	17.9888	0.0000	5.9077	3.0493	2.1384	2.1901	3.2492	94.54	0.000100
29	16.5833	17.9301	0.0000	5.9434	3.0805	2.1480	2.1964	3.2151	94.48	0.000100
30	16.5688	17.8150	0.0000	5.9667	3.0650	2.1581	2.2041	3.1749	260.95	0.000100
31	16.4935	17.7693	0.0000	5.9112	3.0226	2.1648	2.2108	3.1841	93.66	0.000100
32	16.2638	17.7006	0.0000	5.9080	2.9847	2.1467	2.1857	3.0387	96.20	0.000100
33	16.1131	17.5939	0.0000	5.8805	2.9621	2.1301	2.1690	2.9714	96.06	0.000100
34	16.2776	17.5508	0.0000	5.8949	3.0288	2.1591	2.1977	2.9971	97.30	0.000100
35	16.0331	17.5206	0.0001	5.8475	2.9567	2.1459	2.1819	2.9011	260.63	0.000100
36	15.8972	17.4053	0.0001	5.8349	2.8834	2.1365	2.1722	2.8703	95.14	0.000100
37	15.9217	17.3473	0.0001	5.8418	2.9113	2.1498	2.1829	2.8359	97.70	0.000100
38	15.8426	17.2928	0.0001	5.8676	2.8981	2.1400	2.1735	2.7634	95.39	0.000100
39	15.9822	17.2293	0.0001	5.9391	2.9260	2.1496	2.1811	2.7864	94.39	0.000100
40	15.7706	17.2206	0.0000	5.8322	2.8839	2.1407	2.1718	2.7419	249.86	0.000010
41	15.7457	17.2380	0.0000	5.8319	2.8466	2.1382	2.1690	2.7600	93.62	0.000010
42	15.7747	17.2210	0.0000	5.8139	2.9035	2.1435	2.1756	2.7383	93.47	0.000010
43	15.7760	17.2270	0.0000	5.8018	2.9044	2.1408	2.1730	2.7560	93.67	0.000010
