Epoch	Train Loss	Val Loss	Val mAP@0.5	XY Loss	WH Loss	Obj Loss	NoObj Loss	Class Loss	Time	LR
1	44.2391	25.7823	0.0000	6.1604	3.6561	1.8993	17.6791	14.8442	263.61	0.001000
2	20.9838	20.0757	0.0000	6.0338	3.3015	2.1445	2.1918	7.3121	94.39	0.001000
3	17.4705	18.3013	0.0000	5.9805	3.2921	2.1458	2.1757	3.8765	94.06	0.001000
4	16.2267	17.4513	0.0000	5.8643	3.1003	2.1239	2.1453	2.9930	94.40	0.001000
5	15.6192	16.9342	0.0000	5.7788	2.8934	2.1394	2.1570	2.6505	256.29	0.001000
6	15.2498	16.4474	0.0000	5.7885	2.7146	2.1457	2.1598	2.4413	94.04	0.001000
7	14.8704	16.1472	0.0000	5.7470	2.5527	2.1314	2.1438	2.2955	94.22	0.001000
8	14.6098	15.9389	0.0000	5.6190	2.5091	2.1388	2.1484	2.1943	94.43	0.001000
9	14.4507	15.8115	0.0000	5.5854	2.4878	2.1305	2.1395	2.1075	94.40	0.001000
10	14.3364	15.6879	0.0000	5.5694	2.4215	2.1327	2.1404	2.0724	256.91	0.001000
11	14.3130	15.4821	0.0000	5.5959	2.3864	2.1388	2.1457	2.0461	96.25	0.001000
12	14.2201	15.3939	0.0000	5.5746	2.3585	2.1388	2.1444	2.0038	96.38	0.001000
13	14.0125	15.3255	0.0000	5.5045	2.2791	2.1345	2.1389	1.9554	95.47	0.001000
14	14.0311	15.2413	0.0000	5.4901	2.3158	2.1365	2.1417	1.9470	95.94	0.001000
15	13.9855	15.1604	0.0000	5.4602	2.2854	2.1482	2.1515	1.9402	255.26	0.001000
16	13.8795	14.9830	0.0000	5.4502	2.2584	2.1301	2.1342	1.9064	94.65	0.001000
17	13.7699	15.0276	0.0000	5.3818	2.2047	2.1363	2.1399	1.9071	94.33	0.001000
18	13.7287	14.8581	0.0000	5.3334	2.1926	2.1473	2.1503	1.9051	94.17	0.001000
19	13.6495	14.8115	0.0000	5.2729	2.1822	2.1452	2.1487	1.9006	94.55	0.001000
20	13.5929	14.7477	0.0000	5.3094	2.1386	2.1379	2.1407	1.8663	254.43	0.001000
21	13.4382	14.6715	0.0000	5.2070	2.1032	2.1337	2.1362	1.8581	93.79	0.001000
22	13.5519	14.6160	0.0000	5.2981	2.0768	2.1560	2.1579	1.8631	93.89	0.001000
23	13.4375	14.5939	0.0000	5.2537	2.0617	2.1407	2.1432	1.8381	94.53	0.001000
24	13.4120	14.5486	0.0000	5.1936	2.0653	2.1496	2.1518	1.8516	94.29	0.001000
25	13.3444	14.4417	0.0000	5.1019	2.0835	2.1602	2.1628	1.8360	254.61	0.001000
26	13.3626	14.3430	0.0000	5.1204	2.0329	2.1664	2.1689	1.8741	93.71	0.001000
27	13.1557	14.1607	0.0000	5.0476	1.9588	2.1477	2.1498	1.8519	94.55	0.001000
28	12.9781	14.0962	0.0000	4.9742	1.9018	2.1313	2.1328	1.8380	94.58	0.001000
29	13.0367	13.9217	0.0000	4.9550	1.8970	2.1607	2.1625	1.8616	94.31	0.001000
30	12.7934	13.8989	0.0000	4.8197	1.8510	2.1469	2.1483	1.8274	253.22	0.000100
31	12.7627	13.8840	0.0000	4.8447	1.8257	2.1374	2.1393	1.8156	93.92	0.000100
32	12.8861	13.8991	0.0000	4.8987	1.8520	2.1510	2.1523	1.8320	94.45	0.000100
33	12.7232	13.8455	0.0000	4.8041	1.8182	2.1410	2.1425	1.8174	94.36	0.000100
34	12.8268	13.8356	0.0000	4.8670	1.8141	2.1504	2.1523	1.8430	94.38	0.000100
35	12.8661	13.8167	0.0000	4.9337	1.8195	2.1417	2.1433	1.8279	253.55	0.000100
36	12.6428	13.7533	0.0000	4.7741	1.7703	2.1390	2.1405	1.8188	93.60	0.000100
37	12.7912	13.7558	0.0000	4.8804	1.7917	2.1452	2.1462	1.8276	94.06	0.000100
38	12.6584	13.7491	0.0000	4.7804	1.7748	2.1419	2.1434	1.8179	94.53	0.000100
39	12.5552	13.7263	0.0000	4.7556	1.7458	2.1256	2.1265	1.8017	94.34	0.000100
40	12.8030	13.7600	0.0000	4.8935	1.7786	2.1545	2.1562	1.8203	255.17	0.000010
41	12.7324	13.6440	0.0000	4.8369	1.7649	2.1526	2.1543	1.8236	93.76	0.000010
42	12.7592	13.7076	0.0000	4.8401	1.7980	2.1516	2.1524	1.8172	93.95	0.000010
43	12.6566	13.7270	0.0000	4.8128	1.7466	2.1433	2.1447	1.8093	94.02	0.000010
44	12.6844	13.7380	0.0000	4.7748	1.7757	2.1527	2.1540	1.8270	93.98	0.000010
