Epoch	Train Loss	Val Loss	Val mAP@0.5	XY Loss	WH Loss	Obj Loss	NoObj Loss	Class Loss	Time	LR
1	36.6554	13.5244	0.0000	3.4858	1.5582	1.7063	23.5205	6.3847	108.50	0.000199
2	14.9642	8.6715	0.0000	3.0862	1.1245	2.7439	3.3420	4.6675	108.26	0.000399
4	11.1606	7.5017	0.0000	2.9261	0.6999	3.0849	1.9100	2.5397	111.12	0.000799
5	10.4625	7.0592	0.0000	2.9013	0.6183	3.0886	1.8260	2.0283	249.52	0.000999
6	10.1875	7.0055	0.0000	2.9175	0.5735	3.1296	1.8006	1.7663	109.20	0.000999
7	9.7289	6.8382	0.0000	2.8663	0.5200	3.1049	1.7783	1.4594	109.21	0.000997
8	9.5449	6.6971	0.0000	2.8553	0.4935	3.1105	1.7758	1.3098	109.17	0.000995
9	9.3375	6.6676	0.0000	2.8192	0.4754	3.0907	1.7586	1.1936	108.41	0.000991
10	9.2060	6.5723	0.0000	2.8306	0.4461	3.0877	1.7548	1.0869	244.05	0.000987
11	9.1490	6.6150	0.0000	2.8222	0.4338	3.0996	1.7595	1.0339	108.07	0.000981
12	9.0853	6.5678	0.0000	2.8184	0.4322	3.0922	1.7534	0.9891	108.81	0.000975
13	9.0053	6.4450	0.0000	2.8134	0.4050	3.1030	1.7658	0.9181	108.94	0.000968
14	8.8821	6.5003	0.0000	2.7722	0.3905	3.0741	1.7512	0.8941	108.73	0.000959
15	8.8392	6.5095	0.0000	2.7638	0.3789	3.0647	1.7490	0.8827	250.81	0.000950
16	8.8432	6.4329	0.0000	2.7856	0.3775	3.0819	1.7623	0.8359	108.21	0.000940
17	8.7617	6.3972	0.0000	2.7615	0.3638	3.0582	1.7563	0.8219	108.09	0.000929
18	8.6223	6.4130	0.0000	2.7170	0.3551	3.0255	1.7401	0.7846	108.97	0.000917
19	8.7067	6.4721	0.0000	2.7487	0.3608	3.0461	1.7587	0.7923	109.12	0.000905
20	8.6957	6.4531	0.0000	2.7423	0.3507	3.0448	1.7594	0.7985	245.84	0.000891
21	8.7459	6.3965	0.0000	2.7554	0.3467	3.0767	1.7775	0.7897	108.01	0.000877
22	8.7776	6.3044	0.0000	2.7749	0.3459	3.0654	1.7852	0.8062	109.02	0.000862
23	8.7084	6.2856	0.0000	2.7419	0.3402	3.0545	1.7802	0.7916	108.27	0.000846
24	8.6924	6.3169	0.0000	2.7535	0.3407	3.0453	1.7881	0.7648	109.38	0.000830
25	8.6548	6.2649	0.0000	2.7148	0.3360	3.0441	1.7802	0.7796	247.90	0.000813
26	8.5760	6.3575	0.0000	2.7256	0.3323	3.0032	1.7695	0.7454	108.30	0.000795
27	8.5280	6.2451	0.0000	2.7112	0.3218	2.9834	1.7718	0.7397	108.39	0.000777
