Epoch	Train Loss	Val Loss	Val mAP@0.5	XY Loss	WH Loss	Obj Loss	NoObj Loss	Class Loss	Time	LR
1	23.7790	8.3381	0.0299	4.4387	1.1757	2.7331	7.8757	7.5558	343.84	0.001000
2	14.6241	7.4629	0.0299	3.4068	0.5094	2.3348	4.3235	4.0496	106.35	0.000999
3	12.8860	6.7792	0.0299	3.0887	0.4206	2.1298	4.0164	3.2304	106.36	0.000996
4	12.2709	6.5254	0.0299	2.9945	0.3806	2.0066	3.9404	2.9488	108.05	0.000991
5	11.2432	6.3488	0.1758	2.7891	0.3463	1.8722	3.7138	2.5218	337.44	0.000984
6	10.6813	6.1339	0.1758	2.6779	0.3163	1.7730	3.6145	2.2996	107.13	0.000976
7	10.4087	5.9647	0.1758	2.5903	0.3105	1.7477	3.5870	2.1731	108.15	0.000965
8	9.9924	5.9077	0.1758	2.5145	0.2946	1.6704	3.4697	2.0432	107.76	0.000952
9	9.5269	5.7979	0.1758	2.4207	0.2772	1.5925	3.3453	1.8912	106.77	0.000938
10	9.3515	5.7640	0.2471	2.3810	0.2751	1.5601	3.3129	1.8224	355.92	0.000922
11	8.9366	5.6206	0.2471	2.2816	0.2587	1.4923	3.1995	1.7046	106.93	0.000905
12	8.7613	5.5870	0.2471	2.2533	0.2526	1.4800	3.1647	1.6106	107.43	0.000885
13	8.5657	5.5324	0.2471	2.2085	0.2489	1.4186	3.1053	1.5843	107.83	0.000865
14	8.4137	5.5109	0.2471	2.1616	0.2379	1.4132	3.0766	1.5243	107.41	0.000842
15	8.1020	5.4967	0.2870	2.0840	0.2313	1.3532	2.9769	1.4565	343.96	0.000819
16	8.0134	5.4030	0.2870	2.0909	0.2307	1.3333	2.9282	1.4303	107.81	0.000794
17	7.6438	5.3987	0.2870	1.9552	0.2168	1.2851	2.8470	1.3398	106.94	0.000768
18	7.6079	5.2894	0.2870	1.9648	0.2159	1.2580	2.8300	1.3393	107.55	0.000741
19	7.5277	5.2990	0.2870	1.9524	0.2186	1.2492	2.8118	1.2957	108.01	0.000713
20	7.3238	5.2710	0.3072	1.9026	0.2124	1.2155	2.7340	1.2594	338.78	0.000684
21	7.2588	5.2611	0.3072	1.8809	0.2114	1.1980	2.7205	1.2481	107.72	0.000655
22	7.0457	5.1991	0.3072	1.8198	0.2025	1.1542	2.6676	1.2016	108.03	0.000625
23	6.9285	5.1937	0.3072	1.7981	0.2024	1.1447	2.6168	1.1666	107.48	0.000594
24	6.8471	5.1044	0.3072	1.7825	0.1985	1.1375	2.5975	1.1311	107.48	0.000563
25	6.6229	5.1782	0.3417	1.7436	0.1961	1.0838	2.5265	1.0728	339.30	0.000532
26	6.5523	5.1183	0.3417	1.7182	0.1974	1.0715	2.4962	1.0691	106.36	0.000500
27	6.5400	5.0467	0.3417	1.7255	0.1939	1.0653	2.4805	1.0748	107.88	0.000469
28	6.2731	5.0977	0.3417	1.6236	0.1832	1.0322	2.4202	1.0138	106.88	0.000438
29	6.1127	5.0530	0.3417	1.5867	0.1778	1.0150	2.3742	0.9590	106.59	0.000407
30	6.1763	5.0024	0.3636	1.6027	0.1830	1.0268	2.3842	0.9797	327.25	0.000376
31	6.1198	4.9950	0.3636	1.6172	0.1827	0.9978	2.3423	0.9798	106.86	0.000346
32	5.9339	5.0118	0.3636	1.5394	0.1787	0.9672	2.3127	0.9358	107.82	0.000317
33	5.8928	4.9677	0.3636	1.5497	0.1756	0.9524	2.2892	0.9259	106.78	0.000288
34	5.7792	4.9629	0.3636	1.5075	0.1724	0.9461	2.2476	0.9056	106.76	0.000260
35	5.7408	4.9591	0.3593	1.5185	0.1727	0.9237	2.2240	0.9018	330.00	0.000233
36	5.7379	4.9329	0.3593	1.5044	0.1746	0.9468	2.2234	0.8888	106.92	0.000207
37	5.6090	4.9110	0.3593	1.4617	0.1718	0.9223	2.1826	0.8706	107.68	0.000182
38	5.5456	4.9190	0.3593	1.4533	0.1677	0.8930	2.1724	0.8592	106.78	0.000159
39	5.4716	4.8887	0.3593	1.4417	0.1662	0.8829	2.1362	0.8447	106.40	0.000136
40	5.4564	4.9064	0.3859	1.4352	0.1676	0.8848	2.1264	0.8423	328.81	0.000116
41	5.4642	4.9040	0.3859	1.4478	0.1695	0.8957	2.1195	0.8317	106.97	0.000096
42	5.5081	4.8789	0.3859	1.4522	0.1704	0.9010	2.1285	0.8558	107.20	0.000079
43	5.2859	4.8831	0.3859	1.3848	0.1600	0.8546	2.0911	0.7953	106.76	0.000063
44	5.2930	4.8714	0.3859	1.3947	0.1629	0.8540	2.0775	0.8039	107.34	0.000049
45	5.3502	4.8635	0.3895	1.4229	0.1658	0.8629	2.0774	0.8211	327.16	0.000036
46	5.2814	4.8839	0.3895	1.3976	0.1623	0.8502	2.0526	0.8187	107.03	0.000025
47	5.2633	4.8561	0.3895	1.3837	0.1609	0.8584	2.0668	0.7934	107.34	0.000017
48	5.3037	4.8559	0.3895	1.3980	0.1655	0.8700	2.0658	0.8045	107.04	0.000010
49	5.3338	4.8650	0.3895	1.4207	0.1675	0.8700	2.0626	0.8129	107.08	0.000005
50	5.2420	4.8556	0.3884	1.3940	0.1643	0.8519	2.0485	0.7833	321.41	0.000002
