Epoch	Train Loss	Val Loss	Val mAP@0.5	XY Loss	WH Loss	Obj Loss	NoObj Loss	Class Loss	Time	LR
1	19.1980	9.1630	0.0000	2.8724	1.1633	2.3608	8.0070	4.7945	96.22	0.001000
2	11.3473	8.4990	0.0000	2.6706	0.7635	2.7509	1.8830	3.2792	95.20	0.000998
3	10.4626	7.7355	0.0000	2.6532	0.6394	2.7787	1.7269	2.6644	95.16	0.000996
4	10.2016	7.9408	0.0000	2.6354	0.5817	2.8353	1.7078	2.4414	95.61	0.000992
5	9.8472	7.3979	0.0000	2.6187	0.5457	2.8212	1.6720	2.1896	260.74	0.000988
6	9.4892	7.2465	0.0000	2.6016	0.5024	2.7908	1.6380	1.9565	94.05	0.000982
7	9.3591	7.2142	0.0000	2.5698	0.4788	2.8157	1.6387	1.8561	96.65	0.000976
8	9.3258	7.1255	0.0000	2.6066	0.4682	2.8256	1.6347	1.7908	96.01	0.000968
9	9.1126	7.0765	0.0000	2.5301	0.4500	2.8068	1.6146	1.7111	93.15	0.000960
10	9.2353	7.0690	0.0000	2.6024	0.4466	2.8619	1.6402	1.6842	272.36	0.000951
11	8.9684	6.9255	0.0000	2.5631	0.4276	2.8092	1.6077	1.5607	93.62	0.000941
12	8.9986	6.9493	0.0000	2.5695	0.4213	2.8557	1.6295	1.5228	93.32	0.000930
13	8.7768	6.9030	0.0000	2.5245	0.4106	2.8163	1.6099	1.4155	93.25	0.000918
14	9.0061	6.8869	0.0000	2.6028	0.4086	2.8977	1.6495	1.4476	94.03	0.000905
15	8.6868	6.8847	0.0000	2.5160	0.3944	2.8095	1.6070	1.3600	261.29	0.000892
16	8.6428	6.7992	0.0000	2.5207	0.3891	2.8095	1.6047	1.3188	95.27	0.000878
17	8.5633	6.7649	0.0000	2.5149	0.3866	2.8078	1.6044	1.2496	93.86	0.000863
18	8.6487	6.7639	0.0000	2.5476	0.3770	2.8365	1.6214	1.2662	93.76	0.000847
19	8.5707	6.8094	0.0000	2.5284	0.3772	2.8236	1.6156	1.2260	93.60	0.000831
20	8.4239	6.7422	0.0000	2.4927	0.3717	2.7796	1.5922	1.1877	260.15	0.000814
21	8.4894	6.7924	0.0000	2.5266	0.3686	2.7974	1.5991	1.1977	92.79	0.000796
22	8.3573	6.7253	0.0000	2.4586	0.3672	2.7728	1.5864	1.1723	92.70	0.000778
23	8.5067	6.7922	0.0000	2.5435	0.3697	2.8185	1.6095	1.1655	93.47	0.000759
24	8.4836	6.6906	0.0000	2.5487	0.3589	2.8234	1.6186	1.1340	93.64	0.000740
25	8.3735	6.7074	0.0000	2.5103	0.3534	2.8060	1.6062	1.0975	260.26	0.000720
26	8.4256	6.7042	0.0000	2.5239	0.3519	2.8141	1.6138	1.1218	92.95	0.000700
27	8.3867	6.6764	0.0000	2.5143	0.3518	2.8180	1.6161	1.0865	93.75	0.000679
28	8.3950	6.6886	0.0000	2.5114	0.3461	2.8285	1.6241	1.0848	93.32	0.000658
29	8.2390	6.7056	0.0000	2.4770	0.3390	2.7832	1.6023	1.0374	93.52	0.000637
30	8.4074	6.8253	0.0000	2.5290	0.3442	2.8286	1.6244	1.0813	263.96	0.000615
31	8.3410	6.6896	0.0000	2.5311	0.3312	2.8178	1.6229	1.0379	93.40	0.000593
32	8.1985	6.6964	0.0000	2.4857	0.3355	2.7815	1.6020	0.9938	93.04	0.000571
33	8.1939	6.6663	0.0000	2.4883	0.3304	2.7637	1.5971	1.0144	93.03	0.000549
34	8.2429	6.6420	0.0000	2.5015	0.3271	2.8023	1.6168	0.9951	92.91	0.000527
35	8.0772	6.6058	0.0000	2.4449	0.3207	2.7546	1.5933	0.9638	261.55	0.000505
36	8.2334	6.6255	0.0000	2.5053	0.3282	2.8030	1.6202	0.9767	92.45	0.000483
37	8.2274	6.6853	0.0000	2.4976	0.3290	2.8052	1.6242	0.9713	93.33	0.000461
38	8.1133	6.7024	0.0000	2.4818	0.3245	2.7589	1.6035	0.9447	93.13	0.000439
39	8.2287	6.6249	0.0000	2.5135	0.3273	2.7882	1.6142	0.9855	94.45	0.000417
40	8.1332	6.6840	0.0000	2.4977	0.3156	2.7667	1.6035	0.9496	274.64	0.000395
41	8.1934	6.6207	0.0000	2.4975	0.3195	2.7819	1.6138	0.9806	96.85	0.000373
42	8.0973	6.6566	0.0000	2.4702	0.3133	2.7674	1.6055	0.9409	94.53	0.000352
43	8.2449	6.6876	0.0000	2.5188	0.3243	2.8119	1.6313	0.9587	93.67	0.000331
44	8.1877	6.6710	0.0000	2.4905	0.3186	2.7904	1.6199	0.9683	94.12	0.000310
45	8.1586	6.7460	0.0000	2.4802	0.3172	2.7740	1.6123	0.9750	272.96	0.000290
46	8.1738	6.8923	0.0000	2.4994	0.3201	2.7729	1.6115	0.9699	93.87	0.000270
47	8.1325	6.7138	0.0000	2.4612	0.3131	2.7688	1.6127	0.9767	95.56	0.000251
48	8.1299	6.6277	0.0000	2.4987	0.3153	2.7635	1.6098	0.9427	95.86	0.000232
49	8.0609	6.7490	0.0000	2.4600	0.3111	2.7437	1.5987	0.9473	93.53	0.000214
50	8.1033	6.6044	0.0000	2.4679	0.3180	2.7664	1.6155	0.9354	269.20	0.000196
51	8.0864	6.5930	0.0000	2.4661	0.3088	2.7631	1.6102	0.9383	92.70	0.000179
52	8.0912	6.7333	0.0000	2.4562	0.3076	2.7698	1.6152	0.9425	93.64	0.000163
53	8.1299	6.5668	0.0000	2.4758	0.3122	2.7783	1.6178	0.9459	93.51	0.000147
54	8.1787	6.6202	0.0000	2.4918	0.3194	2.7926	1.6258	0.9491	93.66	0.000132
55	8.0168	6.6462	0.0000	2.4410	0.3109	2.7463	1.6029	0.9157	268.56	0.000118
