Epoch	Train Loss	Val Loss	Val mAP@0.5	XY Loss	WH Loss	Obj Loss	NoObj Loss	Class Loss	Time	LR
1	12.9660	8.5216	0.0082	2.1016	0.4839	1.7610	4.8190	3.8004	289.90	0.001000
2	7.7557	7.4883	0.0082	1.7213	0.2429	1.5850	2.1973	2.0092	104.35	0.001000
3	7.0053	6.9654	0.0082	1.6379	0.1962	1.4479	2.1010	1.6224	104.65	0.001000
4	6.5700	6.6184	0.0082	1.5551	0.1731	1.3760	2.0595	1.4062	105.10	0.001000
5	6.2270	6.4051	0.1624	1.5090	0.1579	1.3045	2.0058	1.2499	303.70	0.001000
6	5.9387	6.1723	0.1624	1.4730	0.1488	1.2444	1.9617	1.1108	107.50	0.001000
7	5.7178	5.9953	0.1624	1.4234	0.1414	1.2005	1.9338	1.0187	112.03	0.001000
8	5.5166	5.8067	0.1624	1.3818	0.1293	1.1669	1.8905	0.9481	107.77	0.001000
9	5.3235	5.7337	0.1624	1.3352	0.1280	1.1283	1.8611	0.8710	108.04	0.001000
10	5.1898	5.6074	0.2630	1.3167	0.1231	1.0919	1.8368	0.8214	299.86	0.001000
11	5.0564	5.5098	0.2630	1.2953	0.1159	1.0648	1.7986	0.7819	104.93	0.001000
12	4.9072	5.4190	0.2630	1.2524	0.1125	1.0400	1.7731	0.7292	105.32	0.001000
13	4.8415	5.4954	0.2630	1.2495	0.1119	1.0196	1.7639	0.6966	104.81	0.001000
14	4.7397	5.3424	0.2630	1.2211	0.1042	1.0021	1.7418	0.6705	104.78	0.001000
15	4.6427	5.3531	0.2899	1.1978	0.1031	0.9751	1.7221	0.6445	307.52	0.001000
16	4.5038	5.2484	0.2899	1.1743	0.1004	0.9394	1.6825	0.6071	104.19	0.001000
17	4.4944	5.1851	0.2899	1.1633	0.1001	0.9459	1.6741	0.6108	104.59	0.001000
18	4.3551	5.1798	0.2899	1.1265	0.0938	0.9130	1.6497	0.5720	104.65	0.001000
19	4.3256	5.0993	0.2899	1.1273	0.0949	0.9090	1.6387	0.5556	104.74	0.001000
20	4.2307	5.0646	0.3654	1.1018	0.0923	0.8787	1.6232	0.5347	288.86	0.001000
21	4.1390	5.1333	0.3654	1.0799	0.0880	0.8657	1.5980	0.5073	104.05	0.001000
22	4.1394	5.1008	0.3654	1.0792	0.0902	0.8714	1.6026	0.4960	104.63	0.001000
23	4.0298	5.0550	0.3654	1.0463	0.0879	0.8437	1.5722	0.4796	104.49	0.001000
24	3.9820	5.0913	0.3654	1.0446	0.0841	0.8340	1.5600	0.4593	104.33	0.001000
25	3.9473	5.0542	0.3768	1.0386	0.0853	0.8237	1.5394	0.4602	289.47	0.001000
26	3.8986	4.9583	0.3768	1.0269	0.0851	0.8087	1.5356	0.4424	104.51	0.001000
27	3.8638	5.0397	0.3768	1.0068	0.0791	0.8104	1.5249	0.4426	104.74	0.001000
28	3.8030	4.9656	0.3768	0.9772	0.0814	0.7937	1.5200	0.4307	104.95	0.001000
29	3.7136	4.9520	0.3768	0.9752	0.0786	0.7699	1.4782	0.4116	104.38	0.001000
30	3.5293	4.7936	0.4190	0.9258	0.0763	0.7407	1.4242	0.3624	289.70	0.000100
31	3.4040	4.7816	0.4190	0.9021	0.0719	0.6996	1.3942	0.3361	104.69	0.000100
32	3.3449	4.7439	0.4190	0.8916	0.0717	0.6866	1.3704	0.3245	104.24	0.000100
33	3.3050	4.7361	0.4190	0.8904	0.0691	0.6723	1.3531	0.3201	104.11	0.000100
34	3.3158	4.7564	0.4190	0.8783	0.0731	0.6760	1.3686	0.3199	104.46	0.000100
35	3.2254	4.7407	0.4285	0.8571	0.0698	0.6602	1.3342	0.3042	282.03	0.000100
36	3.2639	4.7264	0.4285	0.8787	0.0730	0.6624	1.3401	0.3098	104.47	0.000100
37	3.2649	4.7385	0.4285	0.8866	0.0703	0.6668	1.3408	0.3005	104.21	0.000100
38	3.1866	4.7516	0.4285	0.8646	0.0709	0.6378	1.3157	0.2976	104.48	0.000100
39	3.2129	4.7383	0.4285	0.8565	0.0695	0.6541	1.3317	0.3010	104.54	0.000100
