Epoch	Train Loss	Val Loss	Val mAP@0.5	XY Loss	WH Loss	Obj Loss	NoObj Loss	Class Loss	Time	LR
1	13.5784	9.3288	0.0003	2.1831	0.5075	1.8086	4.8032	4.2761	238.79	0.001000
2	8.2653	8.1171	0.0003	1.8031	0.2489	1.7438	2.2054	2.2641	103.66	0.001000
3	7.4728	7.5443	0.0003	1.6912	0.2032	1.5583	2.1474	1.8726	104.13	0.001000
4	7.0169	7.1221	0.0003	1.6234	0.1821	1.4605	2.0990	1.6519	104.70	0.001000
5	6.6671	6.8192	0.0880	1.5639	0.1689	1.3790	2.0424	1.5129	298.22	0.001000
6	6.3956	6.5709	0.0880	1.5152	0.1555	1.3117	2.0070	1.4063	104.08	0.001000
7	6.1105	6.3517	0.0880	1.4535	0.1470	1.2543	1.9608	1.2949	103.96	0.001000
8	5.9551	6.2974	0.0880	1.4347	0.1391	1.2191	1.9456	1.2166	104.02	0.001000
9	5.7279	6.0237	0.0880	1.3834	0.1329	1.1768	1.9012	1.1336	104.16	0.001000
10	5.5407	5.8379	0.2238	1.3482	0.1265	1.1445	1.8760	1.0456	293.76	0.001000
11	5.4086	5.7480	0.2238	1.3278	0.1273	1.1190	1.8493	0.9852	104.49	0.001000
12	5.2223	5.6367	0.2238	1.2911	0.1209	1.0813	1.8183	0.9106	104.17	0.001000
13	5.0768	5.5174	0.2238	1.2429	0.1171	1.0597	1.7901	0.8669	104.52	0.001000
14	5.0195	5.4849	0.2238	1.2303	0.1151	1.0531	1.7894	0.8316	104.32	0.001000
15	4.8954	5.4524	0.2628	1.2331	0.1129	1.0125	1.7602	0.7767	291.84	0.001000
16	4.7586	5.3394	0.2628	1.2007	0.1088	0.9918	1.7254	0.7320	105.29	0.001000
17	4.6918	5.2652	0.2628	1.1938	0.1031	0.9733	1.7156	0.7060	104.92	0.001000
18	4.6604	5.2347	0.2628	1.1653	0.1042	0.9770	1.7209	0.6930	104.94	0.001000
19	4.5049	5.3561	0.2628	1.1242	0.1008	0.9450	1.6805	0.6544	105.44	0.001000
20	4.4601	5.2553	0.3251	1.1337	0.0990	0.9249	1.6673	0.6352	279.46	0.001000
21	4.3589	5.0995	0.3251	1.1061	0.0957	0.9128	1.6444	0.5998	104.44	0.001000
22	4.3069	5.1408	0.3251	1.1045	0.0936	0.8997	1.6303	0.5788	104.83	0.001000
23	4.2287	5.1056	0.3251	1.0851	0.0913	0.8808	1.5981	0.5734	104.17	0.001000
24	4.2138	5.1594	0.3251	1.0741	0.0917	0.8825	1.6175	0.5480	104.23	0.001000
